ano,regiao,sigla_uf,unidade_geografica,localizacao,dependencia,CO_ENTIDADE,IN_ENERGIA_REDE_PUBLICA,IN_AGUA_POTAVEL,IN_COMPUTADOR
2024,Norte,RO,Rondônia,Urbana,Estadual,11001305,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11001364,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11001410,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11001496,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11001526,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11001550,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11001640,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11001810,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11002018,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11002123,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11002255,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11002468,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11002476,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11002484,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11002506,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11002514,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11002522,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11002549,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11003065,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11038063,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11040793,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11048581,1,1,0
2024,Norte,RO,Rondônia,Rural,Estadual,11048590,0,0,0
2024,Norte,RO,Rondônia,Urbana,Estadual,11049936,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11050349,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11104805,1,1,1
2024,Norte,RO,Rondônia,Urbana,Federal,11107812,1,1,1
2024,Norte,RO,Rondônia,Urbana,Federal,11109807,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11113804,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11003413,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11040629,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11040637,1,1,0
2024,Norte,RO,Rondônia,Rural,Estadual,11045108,1,1,0
2024,Norte,RO,Rondônia,Rural,Estadual,11045922,1,1,0
2024,Norte,RO,Rondônia,Urbana,Estadual,11003812,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11049430,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11050128,0,1,0
2024,Norte,RO,Rondônia,Urbana,Estadual,11048670,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11000554,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11050578,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11000457,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11018089,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11018810,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11018950,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11048441,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11018267,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11018216,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11009306,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11028750,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11029056,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11029110,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11029307,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11029439,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11029455,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11029480,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11029951,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11033428,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11033649,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11033797,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11033819,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11033835,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11046635,1,1,0
2024,Norte,RO,Rondônia,Rural,Estadual,11049324,1,1,0
2024,Norte,RO,Rondônia,Rural,Estadual,11106840,1,1,0
2024,Norte,RO,Rondônia,Urbana,Estadual,11106867,1,1,1
2024,Norte,RO,Rondônia,Urbana,Federal,11107804,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11022981,1,1,1
2024,Norte,RO,Rondônia,Urbana,Federal,11050853,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11003979,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11004274,1,1,1
